TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-CM-5349-01A-21R-1723-07,26160.19336,25988.08984,13368.09863,25844.875,19582.32813,20176.11914,9189.818359,7759.182129,6448.183594,8340.523438
TCGA-AA-3811-01A-01R-1022-07,15921.0332,11847.83789,12983.00391,11203.39648,10577.53027,6217.053711,5619.163574,10676.05957,7691.693359,4256.8125
TCGA-A6-5665-01A-01R-1653-07,11341.24707,12359.46875,13083.63477,9679.879883,5047.592773,7863.341797,3442.860352,2522.034424,5902.545898,2878.243164
TCGA-AA-3496-01A-21R-1839-07,14453.10059,13862.37988,10038.57227,18163.26367,20271.61523,16093.13574,14114.53418,1573.983154,2673.226318,10885.96875
TCGA-G4-6320-01A-11R-1723-07,24459.76953,17420.38281,22251.84766,17322.37891,14757.52051,12578.05859,6084.575684,8921.743164,6234.194336,7211.912598
TCGA-F4-6809-01A-11R-1839-07,26900.74023,25164.3418,14595.15723,27054.50977,19980.74219,19226.62109,13556.7793,8594.670898,6038.048828,12317.78125
TCGA-AA-A00E-01A-01R-A002-07,14412.03516,12084.24512,17205.94336,13005.10547,12654.90625,7190.371094,5489.834961,4971.668457,7150.976074,3977.977051
TCGA-A6-2676-01A-01R-0826-07,5632.854492,5468.046875,7161.746582,8569.30957,5841.868652,4498.019043,2360.434326,1042.54541,10128.28125,2849.885986
TCGA-DM-A0X9-01A-11R-A155-07,25849.65039,22055.59766,17682.17188,26658.29492,15073.76465,20341.4707,7405.489746,3832.950928,3865.185059,6742.101074
TCGA-AZ-4615-01A-01R-1410-07,18801.8125,17983.20117,19608.16211,13795.78223,15182.66895,10830.49609,6280.192871,4123.523926,6301.424316,4419.993652
TCGA-AZ-5407-01A-01R-1723-07,6503.105957,6659.116699,5834.680664,5829.119629,4192.337402,5029.669922,2593.136963,1927.476807,3951.982666,3752.7771
TCGA-A6-5665-01B-03R-2302-07,20826.98242,16373.29785,23859.75977,33121.52344,29920.12891,28409.19141,15324.2832,67489.9375,2462.406494,4355.063477
TCGA-G4-6626-01A-11R-1774-07,16770.17383,15905.74609,12730.19141,12867.66992,13201.45215,11354.65527,7350.148438,2423.954346,4951.67334,3856.986572
TCGA-AA-A00Q-01A-01R-A002-07,23819.97461,23188.20898,18545.04102,17209.15234,18998.38477,11436.5166,6376.421387,9882.051758,8068.641602,5781.525391
TCGA-A6-5662-01A-01R-1653-07,5032.432129,3851.837891,6010.148926,5321.732422,3224.132568,4369.180664,2852.72876,3128.461914,3775.646484,5023.181152
TCGA-AA-3562-01A-02R-0821-07,11090.3291,8840.113281,7589.803711,6134.698242,4758.537109,3236.322266,2920.174561,4722.797852,8087.327148,5573.610352
TCGA-CM-5864-01A-01R-1653-07,20438.55078,10468.75879,2539.098145,13084.05664,6634.079102,8346.008789,4426.979004,6383.127441,2827.101074,12069.47852
TCGA-AA-A03F-01A-11R-A16W-07,28743.48633,17245.20117,25202.69141,21761.02148,23359.95508,9608.857422,10623.93457,8783.682617,8345.273438,6165.152832
TCGA-DM-A1D7-01A-11R-A155-07,25203.80273,23721.82813,9258.555664,21579.11719,19915.29102,13369.00195,13939.85449,3528.603516,3581.833984,8772.579102
TCGA-A6-6654-01A-21R-1839-07,15948.83398,10543.05078,14168.76758,12344.70703,11031.31152,9045.766602,7504.195801,1999.174438,8134.891602,7135.541016
TCGA-AA-3543-01A-01R-0826-07,8065.992676,8031.88916,7459.443848,6050.505371,5075.052734,3150.312012,2655.723877,1658.616577,8240.847656,4154.022949
TCGA-AA-3971-01A-01R-1022-07,16226.39648,15227.64648,17251.91602,12219.48145,13205.14746,6983.146484,5950.237793,7174.887695,6097.950684,8949.047852
TCGA-G4-6627-01A-11R-1774-07,21058.63867,17688.14648,18584.72656,18951.19336,14230.39063,13371.08789,10151.03418,7776.429199,7345.738281,10049.33398
TCGA-A6-A5ZU-01A-11R-A28H-07,47070.01563,38332.05859,31745.9082,21682.1582,28799.42383,17204.86523,24372.23633,10506.83398,4249.095703,12499.46973
TCGA-AY-A8YK-01A-11R-A41B-07,26029.12891,17344.47852,23215.53711,18227.92578,14721.28027,13583.98828,9420.311523,29284.66016,6902.462402,5056.373047
TCGA-A6-6651-01A-21R-1839-07,14979.18066,11867.40527,15745.99219,11135.16113,15212.46387,8111.996094,5127.551758,6387.929688,5555.377441,5372.484863
TCGA-AZ-4684-01A-01R-1410-07,15653.37793,8092.962891,7692.506348,9362.069336,8905.728516,2601.507812,3377.616943,3006.901611,12821.48926,4582.56543
TCGA-CM-6162-01A-11R-1653-07,6682.295898,5527.858887,5122.967773,6901.731445,4657.546875,6571.094727,2019.094116,2126.82666,8753.939453,2477.100098
TCGA-A6-2685-01A-01R-1410-07,10312.73145,12110.24609,11252.0625,10927.95996,7386.456055,10229.23535,4678.931152,5183.338379,7343.610352,2705.218262
TCGA-CA-5797-01A-01R-1653-07,13608.44238,13142.52441,8160.112305,9813.518555,6294.536621,7841.994141,4468.296875,4738.727539,7115.42041,6078.347656
TCGA-T9-A92H-01A-11R-A37K-07,16867.19727,25117.75195,19991.58398,14789.47363,14668.43652,13822.08594,8816.308594,8718.556641,4718.994629,4997.336426
TCGA-AA-3968-01A-01R-1022-07,24890.75391,20801.96484,14902.56836,17501.10156,15613.69141,12054.72168,8645.417969,28769.07813,5451.654297,7396.477539
TCGA-CM-6678-01A-11R-1839-07,19894.54297,18003.37109,7020.126465,15339.43164,11607.20898,9940.321289,8673.053711,14470.5293,4939.11377,6669.222656
TCGA-CK-4951-01A-01R-1410-07,19871.62891,17580.9707,14016.49414,18913.83984,16369.34863,7521.76416,7142.81543,5004.564453,8824.994141,5873.454102
TCGA-DM-A28A-01A-21R-A32Y-07,9324.908203,7538.548828,4884.916016,5022.053711,9027.148438,3407.320557,3371.938721,4113.075684,5048.387695,1923.556885
TCGA-AA-3489-01A-21R-1839-07,8656.954102,10070.78223,6888.399902,12511.75,8125.759766,9003.166992,5353.571289,2762.85376,4291.343262,2875.104004
TCGA-AU-6004-01A-11R-1723-07,20902.74414,21390.28125,25689.79492,21830.67773,17028.84375,20159.16406,12060.23438,3009.182617,5499.054199,5892.304199
TCGA-A6-6781-01B-06R-A277-07,9550.463867,15561.7793,21883.17578,17019.38477,19103.28125,10922.07813,4297.430664,6914.427246,1136.61145,4151.655273
TCGA-A6-6140-01A-11R-1774-07,18400.68945,11100.03125,13965.74707,14315.34668,12814.55566,12392.21777,6984.355469,3803.372314,6633.910156,5987.883301
TCGA-CM-6167-01A-11R-1653-07,12535.0127,11208.0332,11154.3252,12330.12207,8478.260742,9517.862305,5697.248047,4996.597656,7012.913086,5118.294922
TCGA-A6-A56B-01A-31R-A28H-07,36536.06641,25791.17773,16469.44531,21336.72852,16726.75977,18644.94336,8148.365234,7248.553223,4945.772949,4159.09082
TCGA-G4-6310-01A-11R-1723-07,22620.00977,20880.3125,19216.87695,23964.2168,15218.61035,15084.03613,10612.54395,10926.97559,6466.15918,15963.2959
TCGA-CM-5348-01A-21R-1723-07,19963.41602,14599.89063,13322.70703,20414.55273,12761.1377,15839.4541,8389.359375,17276.88867,6831.081543,6980.219727
TCGA-AA-3858-01A-01R-0905-07,11027.99805,13084.83398,6792.259277,6838.828613,6167.040039,4367.161133,3740.737061,2696.971436,7745.712891,7392.224121
TCGA-AA-3947-01A-01R-1022-07,20022.125,14790.16992,14335.05859,12512.66992,12983.23535,8195.727539,6633.745605,2638.171143,1319.613403,7401.478516
