TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-PD-A5DF-01A-11R-A27V-07,23879.4707,2150.019043,17384.3457,20778.99219,18223.10156,23793.35547,10816.3457,23619.06836,17848.47266,14081.64551
TCGA-FV-A4ZQ-01A-11R-A266-07,70318.23438,16417.06445,8972.317383,9294.617188,6919.049316,5740.395996,19465.58789,3726.461914,7944.428223,4139.176758
TCGA-HP-A5MZ-01A-21R-A27V-07,59234.48047,28921.4375,25206.85742,27267.14844,21441.90234,29858.11914,24604.3457,18957.70508,15955.65625,19930.42773
TCGA-ED-A7XO-01A-11R-A352-07,59668.94141,17344.58398,12130.91602,15040.34473,15905.22949,12546.07324,9251.90625,8538.351562,12951.1377,7773.276367
TCGA-ZS-A9CG-01A-11R-A37K-07,19140.49023,32180.41602,18616.24609,23463.21289,22011.76367,16280.55566,5357.659668,19917.35938,8555.923828,11764.2666
TCGA-CC-A9FW-01A-11R-A37K-07,25925.89844,18337.87891,16795.15625,16140.51465,8774.963867,8692.257812,18129.24414,7874.561523,22435.99609,7116.214844
TCGA-DD-A3A1-01A-11R-A213-07,73651.10938,6505.222656,7160.058594,7248.347168,14794.51758,3746.557617,21859.60742,4498.06543,15126.2666,951.996765
TCGA-DD-AADV-01A-11R-A39D-07,56141.79297,13765.92578,19461.68555,14436.58203,10527.25488,11761.69336,13256.12402,9895.977539,10208.62793,9584.414062
TCGA-5C-AAPD-01A-21R-A39D-07,102460.3047,11949.49023,10388.90723,10147.26367,8018.001465,6577.21582,8930.183594,7725.9375,2937.158203,3033.511963
TCGA-2Y-A9GX-01A-11R-A38B-07,55422.55859,8619.640625,27265.95898,18184.23438,17466.63086,24187.58203,19460.94531,17091.43359,13083.92285,18092.33008
TCGA-ED-A459-01A-11R-A266-07,27709.04883,12004.41309,14496.59863,6838.302734,9641.648438,12190.25586,17423.9707,12942.91113,16110.27246,8770.445312
TCGA-DD-A11C-01A-11R-A131-07,25834.36328,11966.7832,10504.75684,6488.79834,9986.639648,17327.79688,3232.438477,19599.42383,5761.316895,11635.83594
TCGA-WJ-A86L-01A-12R-A39D-07,20836.0625,6797.063477,49150.99219,34201.1875,31107.10547,33696.24219,9996.359375,35246.55469,4287.965332,33862.60547
TCGA-DD-AAEH-01A-11R-A41C-07,119386.5781,17194.0918,24918.49219,14961.19824,22482.16992,19102.81641,9796.773438,18096.99414,5605.693359,13599.94336
TCGA-BC-A216-01A-11R-A155-07,64209.67578,27910.25195,30694.66992,20045.64063,22295.66211,28742.86133,4542.474609,32671.10547,15606.79199,20833.20703
TCGA-DD-AAE2-01A-11R-A41C-07,66113.625,14311.80273,22206.27734,15871.73731,19808.62305,16021.18164,5571.006348,13203.95898,11982.41992,13897.59277
TCGA-G3-A3CH-01A-11R-A22L-07,101649.7344,15095.8584,35854.94922,26694.74414,19757.36719,30619.69141,6939.55127,25196.60547,3615.369873,23458.91406
TCGA-2Y-A9GU-01A-11R-A38B-07,69056.53906,30283.4668,31381.7793,22192.55664,22620.80078,20130.84961,9240.126953,23583.28516,9298.1875,14927.45801
TCGA-DD-AADK-01A-11R-A41C-07,98929.42969,85279.17969,18838.08398,14371.83984,12638.54199,15605.2041,6496.449219,14327.52441,22897.29297,9362.922852
