ENSG,ENSG00000198804.2,ENSG00000198938.2,ENSG00000198886.2,ENSG00000198712.1,ENSG00000210082.2,ENSG00000198727.2,ENSG00000198899.2,ENSG00000198763.3,ENSG00000198888.2,ENSG00000212907.2
TCGA-BR-8081-01A,11226.2173304,11237.1442406,14264.490816100002,13010.8114104,4165.17414593,6406.79388111,7811.54431581,5668.35904126,2756.54460174,4715.87749106
TCGA-BR-6457-11A,15124.237763799998,10263.6702013,7531.13663736,9350.2636431,10758.1053869,5410.85153799,6508.09963952,4196.98006693,4779.37432286,3867.55799305
TCGA-BR-8366-01A,10624.5389366,6472.39426559,6057.80101111,6121.72514717,4155.72554638,3816.01416946,3261.23990312,4382.92312026,3081.12449326,1833.62440663
TCGA-CG-4436-01A,16033.6679278,14483.4233537,14562.4782112,27108.3813468,17832.0524155,13243.3715641,11827.011829,8939.62919361,6554.73028997,11230.279502
TCGA-VQ-A8PP-01A,10162.256788600003,4196.74943925,7470.65837243,5209.23059351,1656.18722472,4643.14584162,3622.60725036,3144.84913478,2018.71747987,2502.30391538
TCGA-D7-6525-01A,3375.87756109,3383.21615018,3672.16777813,3150.68852839,1830.53160145,1508.188997,2643.16230483,3213.83223168,1267.2145193,1837.02598222
TCGA-VQ-A91X-01A,26981.9569428,19099.4112488,14218.9898461,15332.0136423,24193.121389400007,11626.668564799998,6668.47740488,5302.93397095,5724.72769734,4099.98082163
TCGA-SW-A7EB-01A,21540.8783891,18417.1629765,15495.357412099998,18873.1026227,12956.3695035,10392.1423112,7064.61382063,7440.34893041,7688.24510956,5096.059655100001
TCGA-IN-A7NR-01A,19719.3038142,20970.4907168,22816.8204292,26272.0862858,12363.604304200002,14487.774745700002,12901.4881053,9435.2555206,7644.55538179,8258.98750119
TCGA-VQ-AA6A-01A,12023.3796853,5741.0540493,7636.2596376,5364.29858337,5302.44581822,4282.15371636,3753.4249857,2634.85137743,3827.26242572,3042.70174288
TCGA-D7-6524-01A,16113.8598476,9015.1800431,7201.66036904,7021.71979583,5373.30425173,4346.37198532,5600.45648563,3648.82178055,3594.02197026,3737.29186232
